epoch	Training Loss	Valid. Loss	Valid. Acc
1	0.27549257889037565	0.146549475734759	0.8511360668581875
2	0.1054617340789085	0.1431962764463564	0.8644554714024549
3	0.06972532601169343	0.1327128065737718	0.8777748759467224
4	0.0492192946569601	0.12558848876979514	0.8929224340558892
5	0.03752465730417721	0.1443207536747286	0.8900496213110473
6	0.027029710866590468	0.15241188710587653	0.8957952468007313
7	0.021025244913386566	0.17887440463262871	0.8984068947505877
8	0.016877934050117616	0.2054625113225663	0.9007573779054583
9	0.011967715489966486	0.23223692993744363	0.9018020370854009
10	0.008849531610118559	0.24019931420418866	0.903107861060329
