,question,answer,context
0,How many actions does it take to process the minced meat?,1,"cut the broccoli into flowerets and the stem into bite - size pieces ; cut carrots and zucchini into cubes . saute onion in 2 tablespoons of olive oil , add chopped vegetables and cook for 10 minutes over low heat , stirring occasionally . in a separate pan saute minced meat breaking it up well , and stir for 6 - 8 minutes until browned . add the tinned tomatoes to the cooked vegetables , mash them coarsely , stir and combine . transfer the meat into the pan with the vegetables , season with salt and pepper , mix thoroughly to combine all ingredients . serve with cooked rice or something similar ( couscous , mashed potatoes ) . "
1,How many actions does it take to process the mashed potato?,1,"cut the broccoli into flowerets and the stem into bite - size pieces ; cut carrots and zucchini into cubes . saute onion in 2 tablespoons of olive oil , add chopped vegetables and cook for 10 minutes over low heat , stirring occasionally . in a separate pan saute minced meat breaking it up well , and stir for 6 - 8 minutes until browned . add the tinned tomatoes to the cooked vegetables , mash them coarsely , stir and combine . transfer the meat into the pan with the vegetables , season with salt and pepper , mix thoroughly to combine all ingredients . serve with cooked rice or something similar ( couscous , mashed potatoes ) . "
2,How many actions does it take to process the olive oil?,1,"preheat the oven to 350deg f. heat the olive oil and butter in a large skillet until the butter melts . add the onions and saute , stirring occasionally , until translucent and golden , about 15 minutes . meanwhile , roll out the pie crust and press it in a baking dish that is about 1 1/4 "" inches deep and 9 "" in diameter . prick the dough slightly with a kitchen fork . place aluminum foil of a piece of parchment paper over and fill it with pie weights , rice , or dry beans . bake it for 12 minutes . remove weights and paper and set them aside . in a small skillet cook the bacon until crisp . drain on a paper towel and set aside . whisk together in a large bowl , the heavy cream , eggs , season with salt and pepper . stir in the reserved bacon , the caramelized onions , and 1/2 cup provolone cheese into the egg mixture . mix well and pour it evenly into the pie crust . sprinkle the remaining pecorino cheese over the top . cover the edges with a pie shield or aluminum foil to prevent burning . bake in the warm oven for 40 minutes , the top of the tart turns into a golden color , and the blade of a knife comes out clean . remove from the oven and let it cool off on a wire rack . serve at room temperature . "
3,How many actions does it take to process the butter?,2,"preheat the oven to 350deg f. heat the olive oil and butter in a large skillet until the butter melts . add the onions and saute , stirring occasionally , until translucent and golden , about 15 minutes . meanwhile , roll out the pie crust and press it in a baking dish that is about 1 1/4 "" inches deep and 9 "" in diameter . prick the dough slightly with a kitchen fork . place aluminum foil of a piece of parchment paper over and fill it with pie weights , rice , or dry beans . bake it for 12 minutes . remove weights and paper and set them aside . in a small skillet cook the bacon until crisp . drain on a paper towel and set aside . whisk together in a large bowl , the heavy cream , eggs , season with salt and pepper . stir in the reserved bacon , the caramelized onions , and 1/2 cup provolone cheese into the egg mixture . mix well and pour it evenly into the pie crust . sprinkle the remaining pecorino cheese over the top . cover the edges with a pie shield or aluminum foil to prevent burning . bake in the warm oven for 40 minutes , the top of the tart turns into a golden color , and the blade of a knife comes out clean . remove from the oven and let it cool off on a wire rack . serve at room temperature . "
4,How many actions does it take to process the wine?,1,"cook pasta in large salted pot of boiling water according to pasta package directions . in a large skillet over medium high heat melt 4 tablespoons of butter add the garlic and shrimps . cook shrimp until pink on the outside and still springy to the touch . remove the shrimps from the skillet and place them in a shallow dish . cover with aluminum foil . add the wine and the cherry tomatoes to the skillet . cook on high heat until the tomatoes are warm . 2 - 3 minutes . drain the pasta and reserve 1/2 cup of the cooking water . add the pasta to the skillet . add the shrimps , 2 tablespoons butter and parsley . mix well and add some of the cooking water to keep moist . serve hot . "
5,How many actions does it take to process the vegetable oil?,1,combine all of the above ingredients in a food processor and process until smooth . form the mixture into 1/2 inch thick patties . on medium heat ; heat a large frying pan with a tablespoon of vegetable oil . carefully place the patties in the frying pan . let the patties get golden on one side then carefully turn over and finish cooking on the other side . place on your favorite bread with your favorite sandwich toppers . 
6,How many actions does it take to process the cheese?,1,"mix together first 4 ingredients . spread evenly on toast rounds . place on baking sheet , and broil 2 minutes or until cheese melts . serve hot . "
7,How many actions does it take to process the toast round?,2,"mix together first 4 ingredients . spread evenly on toast rounds . place on baking sheet , and broil 2 minutes or until cheese melts . serve hot . "
8,How many times is the cake tester used?,2,"preheat oven to 325 . spray a tube pan with pam cooking spray . rub in with fingers especially if using a fluted pan . you want to make sure that all the surface is coated so the cake wo n't stick . cream butter well . gradually add sugar and blend until smooth . add eggs one at a time , beating after each addition . add sour cream and mix well . beat in flour . then add flavoring . pour into pan and bake for 60 to 75 minutes or until a cake tester comes out clean . leave in pan for 10 minutes . then remove to a cooling rack . as with any cake you 're supposed to allow it to cool before slicing but i love a piece when the top is slightly crusty and the inside is soft , warm and that vanilla , buttery aroma steams up to your nose with each bite ! in your kitchen you make and break the rules . just enjoy ! for the topping , slice strawberries . sprinkle with sugar . pour in rum . stir and let sit for 1 to 2 hours so juices release and alcohol soaks into he berries . slice cake layers . top with strawberries and whipped creme ! "
9,How many actions does it take to process the whipped creme?,1,"preheat oven to 325 . spray a tube pan with pam cooking spray . rub in with fingers especially if using a fluted pan . you want to make sure that all the surface is coated so the cake wo n't stick . cream butter well . gradually add sugar and blend until smooth . add eggs one at a time , beating after each addition . add sour cream and mix well . beat in flour . then add flavoring . pour into pan and bake for 60 to 75 minutes or until a cake tester comes out clean . leave in pan for 10 minutes . then remove to a cooling rack . as with any cake you 're supposed to allow it to cool before slicing but i love a piece when the top is slightly crusty and the inside is soft , warm and that vanilla , buttery aroma steams up to your nose with each bite ! in your kitchen you make and break the rules . just enjoy ! for the topping , slice strawberries . sprinkle with sugar . pour in rum . stir and let sit for 1 to 2 hours so juices release and alcohol soaks into he berries . slice cake layers . top with strawberries and whipped creme ! "
