,question,context,answer
0,How many actions does it take to process the minced meat?,"cut # result : chopped vegetables 1.1.1, tool : knife 1.1.1 # the broccoli # part : cut # into flowerets and the stem # part : cut # into bite - size pieces ; cut # tool : knife 1.1.1 # carrots # part : cut # and zucchini # part : cut # into cubes . saute # habitat : pan 2.1.1 # onion # part : saute # in 2 tablespoons of olive # part : saute # oil , add # result : cooked vegetables 2.1.10, habitat : pan 2.1.1 # chopped # part : add # vegetables and cook for 10 minutes over low heat , stirring occasionally . in a separate pan # part : saute # saute minced # part : saute # meat breaking # tool : spatula 3.1.8 # it up well , and stir # tool : spatula 3.1.8 # for 6 - 8 minutes until browned . add the tinned # part : add # tomatoes to the cooked vegetables , mash # tool : spoon 4.1.10 # them coarsely , stir # tool : spoon 4.1.10 # and combine . transfer # result : vegetables and minced meat casserole 5.1.1 # the meat # part : transfer # into the pan with the vegetables , season with salt # part : season # and pepper # part : season # , mix thoroughly to combine all ingredients # part : combine # . serve # drop : vegetables and minced meat casserole 5.1.1 # with cooked # part : serve # rice or something similar ( couscous , mashed potatoes ) . ",1
1,How many spatulas are used?,"cut # result : chopped vegetables 1.1.1, tool : knife 1.1.1 # the broccoli # part : cut # into flowerets and the stem # part : cut # into bite - size pieces ; cut # tool : knife 1.1.1 # carrots # part : cut # and zucchini # part : cut # into cubes . saute # habitat : pan 2.1.1 # onion # part : saute # in 2 tablespoons of olive # part : saute # oil , add # result : cooked vegetables 2.1.10, habitat : pan 2.1.1 # chopped # part : add # vegetables and cook for 10 minutes over low heat , stirring occasionally . in a separate pan # part : saute # saute minced # part : saute # meat breaking # tool : spatula 3.1.8 # it up well , and stir # tool : spatula 3.1.8 # for 6 - 8 minutes until browned . add the tinned # part : add # tomatoes to the cooked vegetables , mash # tool : spoon 4.1.10 # them coarsely , stir # tool : spoon 4.1.10 # and combine . transfer # result : vegetables and minced meat casserole 5.1.1 # the meat # part : transfer # into the pan with the vegetables , season with salt # part : season # and pepper # part : season # , mix thoroughly to combine all ingredients # part : combine # . serve # drop : vegetables and minced meat casserole 5.1.1 # with cooked # part : serve # rice or something similar ( couscous , mashed potatoes ) . ",1
2,How many actions does it take to process the mashed potato?,"cut # result : chopped vegetables 1.1.1, tool : knife 1.1.1 # the broccoli # part : cut # into flowerets and the stem # part : cut # into bite - size pieces ; cut # tool : knife 1.1.1 # carrots # part : cut # and zucchini # part : cut # into cubes . saute # habitat : pan 2.1.1 # onion # part : saute # in 2 tablespoons of olive # part : saute # oil , add # result : cooked vegetables 2.1.10, habitat : pan 2.1.1 # chopped # part : add # vegetables and cook for 10 minutes over low heat , stirring occasionally . in a separate pan # part : saute # saute minced # part : saute # meat breaking # tool : spatula 3.1.8 # it up well , and stir # tool : spatula 3.1.8 # for 6 - 8 minutes until browned . add the tinned # part : add # tomatoes to the cooked vegetables , mash # tool : spoon 4.1.10 # them coarsely , stir # tool : spoon 4.1.10 # and combine . transfer # result : vegetables and minced meat casserole 5.1.1 # the meat # part : transfer # into the pan with the vegetables , season with salt # part : season # and pepper # part : season # , mix thoroughly to combine all ingredients # part : combine # . serve # drop : vegetables and minced meat casserole 5.1.1 # with cooked # part : serve # rice or something similar ( couscous , mashed potatoes ) . ",1
3,How many actions does it take to process the olive oil?,"preheat the oven # part : preheat # to 350deg f. heat the olive # part : heat # oil and butter # part : heat # in a large # part : heat # skillet until the butter # part : heat # melts . add # habitat : large skillet 2.1.9 # the onions # part : add # and saute # drop : onions 2.2.3, habitat : large skillet 2.1.9 # , stirring # tool : spoon 2.2.7, habitat : large skillet 2.1.9 # occasionally , until translucent and golden , about 15 minutes . meanwhile , roll # tool : rolling pin 3.1.3 # out the pie # part : roll # crust and press # drop : pie crust 3.1.6 # it in a baking # part : press # dish that is about 1 1/4 "" inches deep and 9 "" in diameter . prick # habitat : baking dish 3.1.13 # the dough # part : prick # slightly with a kitchen # part : prick # fork . place aluminum # part : place # foil of a piece of parchment # part : place # paper over and fill # habitat : aluminum foil 3.3.2 # it with pie # part : fill # weights , rice # part : fill # , or dry # part : fill # beans . bake # drop : dough 3.2.3 pie weights 3.3.15, habitat : aluminum foil 3.3.2 # it for 12 minutes . remove weights # part : remove # and paper # part : remove # and set them aside . in a small # part : cook # skillet cook the bacon # part : cook # until crisp . drain # drop : bacon 4.1.7 # on a paper # part : drain # towel and set # drop : bacon 4.1.7 # aside . whisk # result : egg mixture 5.1.1, tool : whisk 5.1.1 # together in a large # part : whisk # bowl , the heavy # part : whisk # cream , eggs # part : whisk # , season # habitat : large bowl 5.1.5 # with salt # part : season # and pepper # part : season # . stir in the reserved # part : stir # bacon , the caramelized # part : stir # onions , and 1/2 cup provolone # part : stir # cheese into the egg # part : stir # mixture . mix # drop : egg mixture 5.1.1, habitat : large bowl 5.1.5 # well and pour # drop : egg mixture 5.1.1 # it evenly into the pie # part : pour # crust . sprinkle # habitat : pie crust 3.1.6 # the remaining pecorino # part : sprinkle # cheese over the top . cover the edges with a pie shield or aluminum foil to prevent burning . bake # drop : pie crust 3.1.6 # in the warm oven # part : bake # for 40 minutes , the top of the tart turns into a golden color , and the blade of a knife comes out clean . remove # drop : tart 6.1.14 # from the oven # part : remove # and let it cool off on a wire # part : cool # rack . serve # drop : tart 6.1.14 # at room temperature . ",1
4,How many actions does it take to process the butter?,"preheat the oven # part : preheat # to 350deg f. heat the olive # part : heat # oil and butter # part : heat # in a large # part : heat # skillet until the butter # part : heat # melts . add # habitat : large skillet 2.1.9 # the onions # part : add # and saute # drop : onions 2.2.3, habitat : large skillet 2.1.9 # , stirring # tool : spoon 2.2.7, habitat : large skillet 2.1.9 # occasionally , until translucent and golden , about 15 minutes . meanwhile , roll # tool : rolling pin 3.1.3 # out the pie # part : roll # crust and press # drop : pie crust 3.1.6 # it in a baking # part : press # dish that is about 1 1/4 "" inches deep and 9 "" in diameter . prick # habitat : baking dish 3.1.13 # the dough # part : prick # slightly with a kitchen # part : prick # fork . place aluminum # part : place # foil of a piece of parchment # part : place # paper over and fill # habitat : aluminum foil 3.3.2 # it with pie # part : fill # weights , rice # part : fill # , or dry # part : fill # beans . bake # drop : dough 3.2.3 pie weights 3.3.15, habitat : aluminum foil 3.3.2 # it for 12 minutes . remove weights # part : remove # and paper # part : remove # and set them aside . in a small # part : cook # skillet cook the bacon # part : cook # until crisp . drain # drop : bacon 4.1.7 # on a paper # part : drain # towel and set # drop : bacon 4.1.7 # aside . whisk # result : egg mixture 5.1.1, tool : whisk 5.1.1 # together in a large # part : whisk # bowl , the heavy # part : whisk # cream , eggs # part : whisk # , season # habitat : large bowl 5.1.5 # with salt # part : season # and pepper # part : season # . stir in the reserved # part : stir # bacon , the caramelized # part : stir # onions , and 1/2 cup provolone # part : stir # cheese into the egg # part : stir # mixture . mix # drop : egg mixture 5.1.1, habitat : large bowl 5.1.5 # well and pour # drop : egg mixture 5.1.1 # it evenly into the pie # part : pour # crust . sprinkle # habitat : pie crust 3.1.6 # the remaining pecorino # part : sprinkle # cheese over the top . cover the edges with a pie shield or aluminum foil to prevent burning . bake # drop : pie crust 3.1.6 # in the warm oven # part : bake # for 40 minutes , the top of the tart turns into a golden color , and the blade of a knife comes out clean . remove # drop : tart 6.1.14 # from the oven # part : remove # and let it cool off on a wire # part : cool # rack . serve # drop : tart 6.1.14 # at room temperature . ",2
5,How many small skillets are used?,"preheat the oven # part : preheat # to 350deg f. heat the olive # part : heat # oil and butter # part : heat # in a large # part : heat # skillet until the butter # part : heat # melts . add # habitat : large skillet 2.1.9 # the onions # part : add # and saute # drop : onions 2.2.3, habitat : large skillet 2.1.9 # , stirring # tool : spoon 2.2.7, habitat : large skillet 2.1.9 # occasionally , until translucent and golden , about 15 minutes . meanwhile , roll # tool : rolling pin 3.1.3 # out the pie # part : roll # crust and press # drop : pie crust 3.1.6 # it in a baking # part : press # dish that is about 1 1/4 "" inches deep and 9 "" in diameter . prick # habitat : baking dish 3.1.13 # the dough # part : prick # slightly with a kitchen # part : prick # fork . place aluminum # part : place # foil of a piece of parchment # part : place # paper over and fill # habitat : aluminum foil 3.3.2 # it with pie # part : fill # weights , rice # part : fill # , or dry # part : fill # beans . bake # drop : dough 3.2.3 pie weights 3.3.15, habitat : aluminum foil 3.3.2 # it for 12 minutes . remove weights # part : remove # and paper # part : remove # and set them aside . in a small # part : cook # skillet cook the bacon # part : cook # until crisp . drain # drop : bacon 4.1.7 # on a paper # part : drain # towel and set # drop : bacon 4.1.7 # aside . whisk # result : egg mixture 5.1.1, tool : whisk 5.1.1 # together in a large # part : whisk # bowl , the heavy # part : whisk # cream , eggs # part : whisk # , season # habitat : large bowl 5.1.5 # with salt # part : season # and pepper # part : season # . stir in the reserved # part : stir # bacon , the caramelized # part : stir # onions , and 1/2 cup provolone # part : stir # cheese into the egg # part : stir # mixture . mix # drop : egg mixture 5.1.1, habitat : large bowl 5.1.5 # well and pour # drop : egg mixture 5.1.1 # it evenly into the pie # part : pour # crust . sprinkle # habitat : pie crust 3.1.6 # the remaining pecorino # part : sprinkle # cheese over the top . cover the edges with a pie shield or aluminum foil to prevent burning . bake # drop : pie crust 3.1.6 # in the warm oven # part : bake # for 40 minutes , the top of the tart turns into a golden color , and the blade of a knife comes out clean . remove # drop : tart 6.1.14 # from the oven # part : remove # and let it cool off on a wire # part : cool # rack . serve # drop : tart 6.1.14 # at room temperature . ",1
6,How many skillets are used?,"cook pasta # part : cook # in large salted # part : cook # pot # part : cook # of boiling # part : cook # water according to pasta package directions . in a large # part : melt # skillet over medium high heat melt 4 tablespoons of butter # part : melt # add # habitat : large skillet 2.1.3 # the garlic # part : add # and shrimps # part : add # . cook # habitat : large skillet 2.1.3 # shrimp # part : cook # until pink on the outside and still springy to the touch . remove the shrimps # part : remove # from the skillet and place # drop : shrimps 3.1.5 # them in a shallow # part : place # dish . cover # habitat : shallow dish 4.1.12 # with aluminum # part : cover # foil . add the wine # part : add # and the cherry # part : add # tomatoes to the skillet . cook # habitat : large skillet 2.1.3 # on high heat until the tomatoes # part : cook # are warm . 2 - 3 minutes . drain # shadow : boiling water 1.1.8, habitat : sink 6.1.1 # the pasta # part : drain # and reserve 1/2 cup of the cooking # part : reserve # water . add the pasta # part : add # to the skillet # part : add # . add # habitat : large skillet 2.1.3 # the shrimps # part : add # , 2 tablespoons butter # part : add # and parsley # part : add # . mix # drop : shrimps 3.1.5 pasta 1.1.2 butter 7.2.7 parsley 7.2.9, result : pasta with tomato garlic and shrimp 7.3.1, tool : spatula 7.3.1, habitat : large skillet 2.1.3 # well and add some of the cooking # part : add # water to keep moist . serve # drop : pasta with tomato garlic and shrimp 7.3.1 # hot . ",1
7,How many sinks are used?,"cook pasta # part : cook # in large salted # part : cook # pot # part : cook # of boiling # part : cook # water according to pasta package directions . in a large # part : melt # skillet over medium high heat melt 4 tablespoons of butter # part : melt # add # habitat : large skillet 2.1.3 # the garlic # part : add # and shrimps # part : add # . cook # habitat : large skillet 2.1.3 # shrimp # part : cook # until pink on the outside and still springy to the touch . remove the shrimps # part : remove # from the skillet and place # drop : shrimps 3.1.5 # them in a shallow # part : place # dish . cover # habitat : shallow dish 4.1.12 # with aluminum # part : cover # foil . add the wine # part : add # and the cherry # part : add # tomatoes to the skillet . cook # habitat : large skillet 2.1.3 # on high heat until the tomatoes # part : cook # are warm . 2 - 3 minutes . drain # shadow : boiling water 1.1.8, habitat : sink 6.1.1 # the pasta # part : drain # and reserve 1/2 cup of the cooking # part : reserve # water . add the pasta # part : add # to the skillet # part : add # . add # habitat : large skillet 2.1.3 # the shrimps # part : add # , 2 tablespoons butter # part : add # and parsley # part : add # . mix # drop : shrimps 3.1.5 pasta 1.1.2 butter 7.2.7 parsley 7.2.9, result : pasta with tomato garlic and shrimp 7.3.1, tool : spatula 7.3.1, habitat : large skillet 2.1.3 # well and add some of the cooking # part : add # water to keep moist . serve # drop : pasta with tomato garlic and shrimp 7.3.1 # hot . ",1
8,How many actions does it take to process the wine?,"cook pasta # part : cook # in large salted # part : cook # pot # part : cook # of boiling # part : cook # water according to pasta package directions . in a large # part : melt # skillet over medium high heat melt 4 tablespoons of butter # part : melt # add # habitat : large skillet 2.1.3 # the garlic # part : add # and shrimps # part : add # . cook # habitat : large skillet 2.1.3 # shrimp # part : cook # until pink on the outside and still springy to the touch . remove the shrimps # part : remove # from the skillet and place # drop : shrimps 3.1.5 # them in a shallow # part : place # dish . cover # habitat : shallow dish 4.1.12 # with aluminum # part : cover # foil . add the wine # part : add # and the cherry # part : add # tomatoes to the skillet . cook # habitat : large skillet 2.1.3 # on high heat until the tomatoes # part : cook # are warm . 2 - 3 minutes . drain # shadow : boiling water 1.1.8, habitat : sink 6.1.1 # the pasta # part : drain # and reserve 1/2 cup of the cooking # part : reserve # water . add the pasta # part : add # to the skillet # part : add # . add # habitat : large skillet 2.1.3 # the shrimps # part : add # , 2 tablespoons butter # part : add # and parsley # part : add # . mix # drop : shrimps 3.1.5 pasta 1.1.2 butter 7.2.7 parsley 7.2.9, result : pasta with tomato garlic and shrimp 7.3.1, tool : spatula 7.3.1, habitat : large skillet 2.1.3 # well and add some of the cooking # part : add # water to keep moist . serve # drop : pasta with tomato garlic and shrimp 7.3.1 # hot . ",1
9,How many actions does it take to process the shrimp?,"cook pasta # part : cook # in large salted # part : cook # pot # part : cook # of boiling # part : cook # water according to pasta package directions . in a large # part : melt # skillet over medium high heat melt 4 tablespoons of butter # part : melt # add # habitat : large skillet 2.1.3 # the garlic # part : add # and shrimps # part : add # . cook # habitat : large skillet 2.1.3 # shrimp # part : cook # until pink on the outside and still springy to the touch . remove the shrimps # part : remove # from the skillet and place # drop : shrimps 3.1.5 # them in a shallow # part : place # dish . cover # habitat : shallow dish 4.1.12 # with aluminum # part : cover # foil . add the wine # part : add # and the cherry # part : add # tomatoes to the skillet . cook # habitat : large skillet 2.1.3 # on high heat until the tomatoes # part : cook # are warm . 2 - 3 minutes . drain # shadow : boiling water 1.1.8, habitat : sink 6.1.1 # the pasta # part : drain # and reserve 1/2 cup of the cooking # part : reserve # water . add the pasta # part : add # to the skillet # part : add # . add # habitat : large skillet 2.1.3 # the shrimps # part : add # , 2 tablespoons butter # part : add # and parsley # part : add # . mix # drop : shrimps 3.1.5 pasta 1.1.2 butter 7.2.7 parsley 7.2.9, result : pasta with tomato garlic and shrimp 7.3.1, tool : spatula 7.3.1, habitat : large skillet 2.1.3 # well and add some of the cooking # part : add # water to keep moist . serve # drop : pasta with tomato garlic and shrimp 7.3.1 # hot . ",6
